190,233,NULL,33:00.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
191,244,NULL,33:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
192,245,5,33:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
193,237,30,33:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
194,240,30,33:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
195,226,35,33:00.0,運営中,30:00.0,00:00.0,発行中,35:00.0,35:00.0
196,221,25,33:00.0,運営中,15:00.0,25:00.0,発行中,30:00.0,50:00.0
197,242,NULL,33:00.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
198,241,15,33:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
199,230,45,33:00.0,運営中,00:00.0,45:00.0,NULL,NULL,NULL
200,224,25,33:00.0,運営中,00:00.0,00:00.0,発行中,40:00.0,40:00.0
201,219,210,33:00.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
202,173,10,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
203,172,NULL,33:59.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
204,157,5,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
205,154,10,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
206,151,NULL,33:59.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
207,152,5,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
208,158,5,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
209,179,10,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
210,170,NULL,33:59.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
211,181,15,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
212,166,NULL,33:59.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
213,153,10,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
214,155,0,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
215,183,20,33:59.0,運営中,00:00.0,00:00.0,発行中,35:00.0,35:00.0
216,195,10,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
217,162,110,33:59.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
218,184,60,33:59.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
219,178,0,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
220,194,NULL,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
221,161,5,33:59.0,運営中,00:00.0,45:00.0,NULL,NULL,NULL
222,180,0,33:59.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
223,185,55,33:59.0,運営中,00:00.0,00:00.0,発行中,45:00.0,45:00.0
